000 111 y exposure 0.00114095 thresh 0.85 :  fit 0.0309115 1.12776 8.62212e-05 -1.858e-07 -1.30509e-10 1.96 Band 0.25 0.003 chi2 0.0307734
000 112 y exposure 0.00219018 thresh 1.05 :  fit -0.176089 1.22398 1.50418e-05 6.84282e-08 -3.86849e-10 1.96 Band 0.25 0.003 chi2 0.0327198
000 113 y exposure 0.00181433 thresh 1.55 :  fit -0.116632 1.15146 0.000135929 -5.01089e-07 4.7302e-10 3.61 Band 0.25 0.003 chi2 0.0330623
000 114 y exposure 0.00216557 thresh 1.45 :  fit -0.250348 1.13117 0.000120156 -4.58598e-07 4.7744e-10 4 Band 0.25 0.003 chi2 0.0325336
000 122 y exposure 0.00161746 thresh 1.65 :  fit -0.154335 1.1482 9.73396e-05 -5.64029e-07 1.1275e-09 2.89 Band 0.25 0.003 chi2 0.0263875
000 123 y exposure 0.00147429 thresh 1.45 :  fit 0.0251652 1.15055 0.000229312 -1.40309e-06 2.87505e-09 3.24 Band 0.25 0.003 chi2 0.0266634
000 134 y exposure 0.00229085 thresh 1.25 :  fit -0.187168 1.13071 8.86589e-05 -4.51037e-07 8.42113e-10 2.89 Band 0.25 0.003 chi2 0.0287829
000 141 y exposure 0.00124833 thresh 1.95 :  fit -0.332202 1.21877 -6.47252e-05 5.19859e-07 -1.28269e-09 2.56 Band 0.25 0.003 chi2 0.0340079
000 142 y exposure 0.00126176 thresh 1.65 :  fit -0.281634 1.20318 0.000256262 -1.77975e-06 3.82535e-09 3.24 Band 0.25 0.003 chi2 0.029883
000 143 y exposure 0.00126847 thresh 1.25 :  fit -0.253931 1.21494 0.000191341 -1.27415e-06 2.72837e-09 3.24 Band 0.25 0.003 chi2 0.0267834
000 144 y exposure 0.00121925 thresh 1.85 :  fit -0.176214 1.20998 0.000189362 -1.25776e-06 2.70786e-09 2.89 Band 0.25 0.003 chi2 0.0312711
000 151 y exposure 0.00123715 thresh 1.85 :  fit -0.158754 1.13062 2.02988e-05 -2.78537e-08 -2.96419e-12 3.61 Band 0.25 0.003 chi2 0.0370704
000 152 y exposure 0.00163313 thresh 1.65 :  fit -0.00341022 1.13441 0.000300204 -1.76238e-06 3.48481e-09 4 Band 0.25 0.003 chi2 0.0264186
000 153 y exposure 0.00141388 thresh 1.25 :  fit 0.045121 1.12987 0.000199849 -1.03972e-06 1.85648e-09 4 Band 0.25 0.003 chi2 0.0286824
000 154 y exposure 0.00219689 thresh 0.95 :  fit -0.140727 1.15156 -4.02609e-05 3.64997e-07 -8.47121e-10 2.56 Band 0.25 0.003 chi2 0.0366657
000 162 y exposure 0.00151008 thresh 2.05 :  fit -0.0325795 1.13309 0.000113041 -7.75411e-07 1.62011e-09 3.61 Band 0.25 0.003 chi2 0.0245023
000 163 y exposure 0.00156825 thresh 0.95 :  fit -0.187252 1.13699 6.58713e-05 -4.97664e-07 1.19573e-09 3.24 Band 0.25 0.003 chi2 0.0248538
000 171 y exposure 0.00125505 thresh 2.65 :  fit -0.230426 1.11863 6.90602e-05 -4.0756e-07 7.59341e-10 4 Band 0.25 0.003 chi2 0.0332364
000 172 y exposure 0.00158838 thresh 1.55 :  fit 0.146683 1.11163 0.000332761 -1.92476e-06 3.66963e-09 4.41 Band 0.25 0.003 chi2 0.0281498
000 173 y exposure 0.00132171 thresh 1.45 :  fit 0.0804623 1.14157 5.71398e-05 -1.50655e-07 1.28349e-10 3.24 Band 0.25 0.003 chi2 0.0267914
001 111 y exposure 0.000127743 thresh 1.15 :  fit 0.0421901 1.12914 4.02691e-05 1.97746e-07 -1.03295e-09 1.96 Band 0.25 0.003 chi2 0.0322553
001 112 y exposure 0.000245216 thresh 1.15 :  fit -0.139549 1.22049 8.90831e-05 -4.316e-07 7.01226e-10 1.96 Band 0.25 0.003 chi2 0.0266265
001 113 y exposure 0.000203136 thresh 1.45 :  fit -0.137849 1.15125 0.000137494 -5.03228e-07 5.04651e-10 3.61 Band 0.25 0.003 chi2 0.0361656
001 114 y exposure 0.00024246 thresh 1.35 :  fit -0.189564 1.12689 0.000188542 -8.8362e-07 1.33359e-09 3.61 Band 0.25 0.003 chi2 0.0274816
001 122 y exposure 0.000181094 thresh 1.55 :  fit -0.147375 1.14974 6.75367e-05 -3.43206e-07 6.14187e-10 2.89 Band 0.25 0.003 chi2 0.030089
001 123 y exposure 0.000165063 thresh 1.15 :  fit 0.00227088 1.15268 0.000188257 -1.1629e-06 2.37117e-09 3.24 Band 0.25 0.003 chi2 0.0299228
001 134 y exposure 0.000256487 thresh 0.95 :  fit -0.183888 1.13269 5.13921e-05 -2.23458e-07 3.48226e-10 2.56 Band 0.25 0.003 chi2 0.0298239
001 141 y exposure 0.000139765 thresh 1.95 :  fit -0.03389 1.20294 0.000176437 -8.82161e-07 1.44231e-09 2.56 Band 0.25 0.003 chi2 0.111381
001 142 y exposure 0.000141268 thresh 1.05 :  fit -0.226547 1.20145 0.000261129 -1.74389e-06 3.68418e-09 3.24 Band 0.25 0.003 chi2 0.0407046
001 143 y exposure 0.00014202 thresh 1.35 :  fit -0.261043 1.2163 0.000143062 -8.71157e-07 1.77291e-09 3.24 Band 0.25 0.003 chi2 0.0311957
001 144 y exposure 0.000136509 thresh 1.85 :  fit -0.170542 1.20676 0.00025493 -1.68463e-06 3.59115e-09 3.24 Band 0.25 0.003 chi2 0.0319836
001 151 y exposure 0.000138513 thresh 1.65 :  fit -0.215058 1.13227 -1.25219e-05 1.18725e-07 -1.89391e-10 3.61 Band 0.25 0.003 chi2 0.0407689
