#  E [V/cm]      e100      e110      e111      h100      h110      h111
          0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         50    0.0162    0.0151    0.0139    0.0214    0.0214    0.0222
        100    0.0289    0.0266    0.0239    0.0340    0.0328    0.0325
        160    0.0412    0.0378    0.0334    0.0444    0.0414    0.0404
        240    0.0544    0.0498    0.0434    0.0541    0.0492    0.0476
        300    0.0626    0.0572    0.0496    0.0595    0.0535    0.0516
        500    0.0833    0.0759    0.0652    0.0716    0.0633    0.0606
        600    0.0912    0.0830    0.0711    0.0757    0.0666    0.0636
        750    0.1008    0.0918    0.0785    0.0804    0.0705    0.0673
       1000    0.1133    0.1031    0.0879    0.0861    0.0753    0.0717
       1250    0.1227    0.1117    0.0949    0.0902    0.0787    0.0750
       1500    0.1302    0.1185    0.1004    0.0932    0.0813    0.0775
       1750    0.1363    0.1241    0.1048    0.0956    0.0834    0.0795
       2000    0.1414    0.1288    0.1083    0.0975    0.0851    0.0811
       2500    0.1497    0.1364    0.1136    0.1005    0.0878    0.0837
       3000    0.1561    0.1422    0.1172    0.1026    0.0899    0.0857
       3500    0.1613    0.1470    0.1197    0.1043    0.0914    0.0873
       4000    0.1657    0.1510    0.1213    0.1056    0.0927    0.0885
       4500    0.1694    0.1545    0.1223    0.1067    0.0938    0.0896
       5000    0.1727    0.1575    0.1228    0.1076    0.0947    0.0905
# temperature correction
# electrons; <mu_0 at T=1> (cm2/Vs), <mu_0(T) power>, B (cm/s), theta (K)
e  5.66e7  -1.680  1.3e7  200.0
# holes;     <mu_0 at T=1> (cm2/Vs), <mu_0(T) power>, B (cm/s), theta (K)
h  1.63e9  -2.398  1.2e7  200.0
