,578,580,582,592,598,600,608,610,626,632,640,648,664,672,690,692,Cut,DS,Module,Percentage,Range,SubDS
0,344.227501468,286.000344506,331.218826458,359.764526259,332.056478664,320.46179399,346.460505042,349.25361674,337.057005817,347.345295986,363.506281531,339.776050121,353.549689967,323.8994768,325.399248038,357.971343614,bcMax,1,1,1,Peak,41
1,369.367714748,297.218129804,352.372977452,384.555527126,356.536295505,343.833073326,372.954957222,378.721565099,359.950643184,371.055436673,391.591413726,365.214429473,379.614735463,345.932222159,349.510312495,384.651991665,bcMax,1,1,5,Peak,41
2,590.223136793,418.055325825,531.350805891,668.883085452,502.860936547,464.990132936,559.113344913,577.53199003,513.698992057,548.757224835,580.209850176,526.724139885,549.266171932,487.316438332,501.858919392,578.51559181,bcMax,1,1,90,Peak,41
3,654.776716701,458.478713549,581.200170967,768.908314755,532.098151756,494.790686142,645.515293218,683.05530987,551.649233252,581.066640865,649.930917647,556.578237916,593.622477424,512.738836824,538.465161207,729.666491527,bcMax,1,1,95,Peak,41
4,745.335549486,507.246559109,688.684803915,900.921932273,586.138502141,554.652438792,770.210842449,802.049691816,628.262173237,651.550874603,892.58864542,612.734660258,666.279426855,557.384136632,611.816480141,824.853105086,bcMax,1,1,99,Peak,41
5,441.0,326.0,417.0,451.0,401.0,407.0,416.0,439.0,419.0,428.0,444.0,414.0,452.0,397.0,429.0,445.0,bcMax,1,1,Mode,Peak,41
6,442.481337842,337.457872553,423.358710645,472.106816378,425.067836255,404.611714396,443.585929096,460.977763111,428.294750744,450.298046413,471.556875967,446.746832488,456.45294202,420.586243563,420.018203135,458.617638606,bcMax,1,1,Median,Peak,41
0,262.273088051,238.29246803,251.051205172,280.115978031,249.692046702,239.232209628,260.112111662,265.148107097,259.426049748,266.167706663,278.488394707,260.18016615,273.062407659,243.473804546,241.202900014,257.312171428,bcMax,1,1,1,Continuum,41
1,269.769006694,245.07984857,259.374126799,288.930231371,257.227540574,247.755464431,268.350476934,275.055198565,267.758746219,275.549885396,287.240879036,268.267444968,292.955727598,252.991796703,250.526877342,267.172924226,bcMax,1,1,5,Continuum,41
2,497.852912675,358.473002064,402.674800547,575.813191269,349.127074733,332.164203446,451.960851871,457.37320128,382.705318074,399.665936587,427.198829388,364.798581502,433.386326924,331.134512318,369.611439488,461.934817298,bcMax,1,1,90,Continuum,41
3,542.395134436,399.433661739,469.296705605,681.89902611,386.737561928,362.930301638,551.566193692,581.441175454,441.666585514,444.391423157,491.410980777,394.738720107,481.455083675,360.100935117,423.889041348,623.603061954,bcMax,1,1,95,Continuum,41
4,612.631458828,445.42576271,575.221296123,780.062526104,434.931231627,410.869649284,647.665848163,690.69437859,506.84017577,502.380070025,770.549791751,433.144691006,529.036657081,413.147878076,471.324332848,708.549839717,bcMax,1,1,99,Continuum,41
5,285.0,262.0,278.0,304.0,271.0,269.0,288.0,295.0,287.0,302.0,301.0,285.0,327.0,271.0,270.0,291.0,bcMax,1,1,Mode,Continuum,41
6,299.085551433,270.031247959,285.869963044,320.810485821,282.626346286,276.83378064,296.462271743,305.653998528,296.711108395,307.688285374,318.893990937,295.028352399,330.495189546,278.4297766,283.862205556,296.234191737,bcMax,1,1,Median,Continuum,41
