,578,580,582,592,598,600,608,610,614,624,626,632,640,648,664,672,678,690,692,694,Cut,DS,Module,Percentage,Range,SubDS
0,-7.34076388376e-07,-9.91421450078e-07,-9.11189709505e-08,-8.35859431346e-06,-8.51097965823e-08,-3.06243906437e-07,-4.04985006687e-07,4.39516395727e-09,-3.45297133186e-07,-8.11261383485e-07,-9.24281475473e-07,-2.16512387188e-07,-8.70212788813e-07,-4.09061463112e-11,-4.69406639228e-08,-7.69046808359e-07,-3.82684947363e-07,-8.43123139903e-07,-7.32160341463e-08,-3.48490254933e-08,pol2,3,1,1,Peak,6
1,1.79237136068e-07,-6.2578141141e-07,3.2546914795e-07,-1.41262473617e-06,3.73713747982e-07,2.05205931799e-07,9.9145717443e-08,3.30925933487e-07,-6.35628494578e-08,2.00708428567e-07,2.28214280841e-07,1.47823521992e-07,-1.56379206845e-07,-4.09061463112e-11,-4.69406639228e-08,2.89874502037e-07,9.10121894832e-08,2.05902548906e-07,1.33707582415e-08,2.21906258539e-07,pol2,3,1,5,Peak,6
2,9.90577369701e-07,2.22235743117e-07,1.18393146277e-06,7.01084945017e-07,1.16716048356e-06,1.07036203102e-06,9.47474153981e-07,1.05298092498e-06,1.05039968028e-06,1.13613361947e-06,1.06595313163e-06,9.94349583648e-07,7.07276493312e-07,9.47748236656e-07,8.93259220711e-07,1.05562706368e-06,9.02024331558e-07,9.76681241922e-07,9.53184074677e-07,1.14922314531e-06,pol2,3,1,90,Peak,6
3,1.04177914863e-06,3.18211999001e-07,1.27685779582e-06,8.86865424941e-07,1.25238354986e-06,1.16906147718e-06,1.02668883799e-06,1.1387720707e-06,1.16238287968e-06,1.2274879608e-06,1.16111407155e-06,1.09224813912e-06,8.0012654249e-07,1.02276035393e-06,9.50569281332e-07,1.14007196977e-06,9.86791871897e-07,1.05143855037e-06,1.04670324762e-06,1.24867476566e-06,pol2,3,1,95,Peak,6
4,1.11506796945e-06,5.30528267188e-07,1.40843570374e-06,1.17621641447e-06,1.41247208165e-06,1.351539758e-06,1.15572880643e-06,1.28388775272e-06,1.40874591836e-06,1.34554971886e-06,1.2994200139e-06,1.24676011331e-06,8.99527177662e-07,1.098107048e-06,1.01764094569e-06,1.25844057255e-06,1.10848269668e-06,1.13229100283e-06,1.18501103609e-06,1.42997818531e-06,pol2,3,1,99,Peak,6
0,-2.69924492423e-06,-1.46401546734e-06,-1.65129479164e-06,-2.62729918055e-06,-1.86201362033e-06,-2.58170645441e-06,-1.38385963097e-06,-2.1339625791e-06,-2.25590230624e-06,-3.79344802189e-06,-2.98780700012e-06,-1.07318909432e-06,-2.59538069216e-06,-1.49578538681e-06,-1.65069575122e-06,-2.5910178676e-06,-1.31976866862e-06,-2.88412423121e-06,-2.42383106548e-06,-2.38935247901e-06,pol2,3,1,1,Continuum,6
1,-1.20596910761e-06,-6.88418755818e-07,-8.66951789653e-07,-1.33108754168e-06,-8.75075803019e-07,-1.30523470732e-06,-6.36615999377e-07,-1.07301465244e-06,-1.18010314694e-06,-1.86313587755e-06,-1.58133620186e-06,-5.33867722326e-07,-1.3943542087e-06,-4.82309183239e-07,-8.50344556719e-07,-1.37344951525e-06,-5.26801246948e-07,-1.56238339392e-06,-1.21055521569e-06,-1.07570236042e-06,pol2,3,1,5,Continuum,6
2,3.46481265707e-07,3.15950132046e-07,3.50692990947e-07,5.06847702168e-07,3.32941102771e-07,3.10845000956e-07,3.31657808564e-07,3.08719804769e-07,4.300695895e-07,4.06835562715e-07,3.6214624363e-07,3.439408455e-07,2.98064168132e-07,3.31108957752e-07,3.63740182694e-07,3.06427427499e-07,3.35950959696e-07,3.02632937083e-07,3.68112642351e-07,4.34711951141e-07,pol2,3,1,90,Continuum,6
3,4.3308773611e-07,4.15644124812e-07,4.42538825798e-07,6.63608895569e-07,4.31642724187e-07,4.2015953922e-07,4.32680016268e-07,3.96823768119e-07,5.80793040839e-07,5.6000954071e-07,4.70336305035e-07,4.40409111301e-07,3.91703160374e-07,4.14709666237e-07,4.60178453896e-07,3.96680597421e-07,4.24337412612e-07,4.17794044797e-07,4.79534900137e-07,5.4735798615e-07,pol2,3,1,95,Continuum,6
4,6.29911716925e-07,6.31083970789e-07,6.04152925275e-07,1.02870691165e-06,5.90161134435e-07,6.56749644698e-07,6.10286678575e-07,5.70476679881e-07,8.79187583118e-07,9.35453070817e-07,6.94593747446e-07,6.2328345872e-07,5.70042877417e-07,5.80830272495e-07,7.72993710118e-07,5.82920668061e-07,6.03050369703e-07,6.22947028435e-07,6.93457524275e-07,7.71477677659e-07,pol2,3,1,99,Continuum,6
0,-2.47923152276e-11,-9.75005572033e-12,-2.76461454086e-11,-2.75547096344e-11,-2.86271246252e-11,-2.80734269179e-11,-2.35577597549e-11,-2.59735098584e-11,-3.09356095122e-11,-2.79955204541e-11,-2.70737806822e-11,-2.53092505007e-11,-2.042486191e-11,-2.55212712394e-11,-2.37173284499e-11,-2.54849690525e-11,-2.31757393161e-11,-2.39656968992e-11,-2.68919445029e-11,-2.92232638688e-11,pol3,3,1,1,Peak,6
1,-2.05002841858e-11,-4.97747598886e-12,-2.46341496576e-11,-1.86982933216e-11,-2.47896334812e-11,-2.34404822524e-11,-2.0471889013e-11,-2.20572343017e-11,-2.42823297634e-11,-2.43356207695e-11,-2.30739125571e-11,-2.13895544541e-11,-1.65798884591e-11,-2.15587579242e-11,-1.96262585169e-11,-2.21318334274e-11,-1.93317591623e-11,-2.08657129568e-11,-2.17889013199e-11,-2.46332860815e-11,pol3,3,1,5,Peak,6
2,-5.86847651373e-12,1.31470067158e-11,-7.01167778564e-12,1.6010338224e-11,-8.49820441121e-12,-4.96939072457e-12,-3.42322928876e-12,-6.68936275228e-12,-5.32056316814e-13,-5.04030323321e-12,-5.70734069782e-12,-3.75026787134e-12,9.87885860182e-13,-3.26126996844e-12,-1.75217916658e-12,-6.41437465555e-12,-2.90964680025e-12,-5.86927703154e-12,-1.18883411069e-12,-5.09846594235e-12,pol3,3,1,90,Peak,6
3,-3.5561032005e-12,1.50786791582e-11,-4.47215195638e-12,2.49267573574e-11,-5.87847712357e-12,-2.49009925017e-12,-1.52327667909e-12,-4.65206303477e-12,3.22167473508e-12,-2.51373334358e-12,-3.22010186373e-12,-1.81986664641e-12,3.17058796057e-12,-1.72840472729e-13,7.4791912583e-13,-4.26107843016e-12,-9.45952040958e-13,-3.67081903159e-12,1.30646148201e-12,-2.64838906203e-12,pol3,3,1,95,Peak,6
4,1.10959303637e-12,2.04859168555e-11,2.15062955054e-12,1.03971473006e-10,-8.67566465307e-13,2.22721533426e-12,1.1006448008e-12,2.14786192542e-14,1.02620058635e-11,2.0800300921e-12,7.13616292318e-13,1.09732950977e-12,8.44350946407e-12,5.46535548194e-12,6.00110184739e-12,1.43196270739e-12,1.71361513304e-12,9.97609167333e-13,5.59102493555e-12,1.65021129578e-12,pol3,3,1,99,Peak,6
0,-1.36702849593e-11,-1.36323051158e-11,-1.28499594016e-11,-2.16535047756e-11,-1.27698524792e-11,-1.41175609067e-11,-1.3114622693e-11,-1.21961515846e-11,-1.8211707886e-11,-2.04871911036e-11,-1.46806330609e-11,-1.37358024771e-11,-1.20143426657e-11,-1.24557556957e-11,-1.60013699896e-11,-1.21852626293e-11,-1.30326183013e-11,-1.34202262067e-11,-1.51944889477e-11,-1.71252054201e-11,pol3,3,1,1,Continuum,6
1,-9.12233293594e-12,-8.76347427508e-12,-9.29772499126e-12,-1.40462988336e-11,-9.25936763223e-12,-9.02675763625e-12,-9.27466302485e-12,-8.45074986875e-12,-1.23048628656e-11,-1.20319313564e-11,-9.92151809914e-12,-9.57937843448e-12,-8.09994207495e-12,-8.80738750497e-12,-9.38437482329e-12,-8.2730472382e-12,-8.95349988114e-12,-8.81679937592e-12,-1.01923423473e-11,-1.19546605321e-11,pol3,3,1,5,Continuum,6
2,1.55544080515e-11,1.09944835348e-11,1.16126832392e-11,1.86666473375e-11,1.14620862308e-11,1.5862762659e-11,8.93251118082e-12,1.37224608668e-11,1.54014685408e-11,2.19020761596e-11,2.04103725518e-11,8.58817607507e-12,1.77174143764e-11,7.04355464386e-12,1.15655129379e-11,1.82341214689e-11,7.84036913569e-12,1.98544149245e-11,1.43181759945e-11,1.26920763705e-11,pol3,3,1,90,Continuum,6
3,2.38241304617e-11,1.44445729896e-11,1.77860311463e-11,2.68032207034e-11,1.78212831908e-11,2.54426536225e-11,1.33870819574e-11,2.15791529166e-11,2.41788482903e-11,3.59912791094e-11,3.15838385892e-11,1.15387553146e-11,2.70791276774e-11,1.01752793042e-11,1.68226362062e-11,2.71363209162e-11,1.11189696765e-11,3.06929829908e-11,2.39821592216e-11,2.15859811015e-11,pol3,3,1,95,Continuum,6
4,4.67872363321e-11,2.58181729718e-11,3.38718355505e-11,5.2234914022e-11,3.62159636328e-11,4.90108809486e-11,2.78263637266e-11,4.14452827107e-11,4.44819921047e-11,6.78136441602e-11,5.80875290251e-11,2.18080897627e-11,5.16183554797e-11,2.79881012911e-11,3.25185449115e-11,4.88868806717e-11,2.52865569707e-11,5.57189283376e-11,4.57742978945e-11,4.02939894577e-11,pol3,3,1,99,Continuum,6
0,71.9827738145,112.391139045,65.9335078338,87.9378417618,67.1827515451,62.0882200326,66.9249562023,67.098537238,92.5826864183,53.8821331689,63.8198911086,63.5311426989,63.5397321779,65.3553125297,85.3745725332,67.0014470736,66.6668817428,72.6932056606,60.9518412881,78.2285506656,fitSlo,3,1,1,Peak,6
1,75.1401154911,122.39041296,78.046123699,93.3175465733,75.9321248835,85.6189913301,71.7393261448,73.3273410424,93.3178141968,67.7956881073,75.3304913353,71.8515779767,71.182530059,73.1073476643,92.6211173157,73.8788304131,73.5047732156,78.6130797045,75.7958560853,78.8083871037,fitSlo,3,1,5,Peak,6
2,109.7322069,149.67606205,121.765096588,176.385001378,119.121026112,109.729015242,104.618207087,107.282972893,116.79447551,99.9078823907,103.454964146,119.194854707,111.867908523,139.288500304,160.716631411,108.07322316,124.916486545,104.844071848,99.6383667036,101.917504783,fitSlo,3,1,90,Peak,6
3,128.057588658,167.036947462,145.126831289,224.888282458,147.399190687,125.325118652,127.752466154,131.495284904,136.844492823,127.890624873,120.921093482,150.206305621,134.393476637,174.058460319,200.2503844,129.036942205,153.458307079,115.675323506,116.354148707,123.202773302,fitSlo,3,1,95,Peak,6
4,218.873828639,215.870957328,212.420455954,365.001233331,211.826394361,193.731573622,185.398488748,191.901705132,180.726878439,246.327037715,171.717649522,222.760501244,185.574093216,276.433690347,293.10361657,180.505011614,234.650677409,169.599627616,181.545698521,173.880477993,fitSlo,3,1,99,Peak,6
0,57.6836749773,98.4835831433,62.7171613174,72.6141322511,59.5604192837,54.7694243722,56.2529182227,58.6164523141,66.3504343052,48.7905821732,55.7244699764,56.2891154173,57.9273128963,58.29936757,67.4737170232,58.5717303452,58.8539297922,49.5385024965,49.655079669,57.9292072934,fitSlo,3,1,1,Continuum,6
