,1106,1136,1144,1170,1172,1174,1176,1204,1232,1236,1296,1298,1330,1332,Cut,DS,Module,Percentage,Range,SubDS
0,-1.75314730931e-06,-5.0187840099e-07,-7.4954833128e-07,-1.39800878164e-06,-9.63873793777e-07,-9.78482693334e-07,-8.68368555889e-07,-1.74669504788e-06,-1.91011973518e-06,-9.58129026314e-08,-2.11108079264e-06,-9.15636740905e-07,-6.83413019505e-07,-5.50022232385e-07,pol2,4,2,1,Peak,1
1,-2.93436363967e-07,-3.04534691266e-07,1.86044065299e-07,-6.41994583795e-07,-5.93994393889e-07,-1.72082409573e-07,-5.0266274702e-07,-3.98496479632e-07,-6.71121208941e-07,5.25065914104e-07,-3.55708559945e-07,-6.82616735437e-07,-2.01102680889e-07,-9.64662125957e-08,pol2,4,2,5,Peak,1
2,7.66841913933e-07,2.1394105519e-07,6.96895535728e-07,1.94389002585e-07,4.19774581444e-07,6.45083476628e-07,4.42292926778e-07,5.30974626861e-07,1.64599713463e-07,1.24342888649e-06,9.41096858537e-07,1.93431075132e-07,7.52379646078e-07,7.19198514628e-07,pol2,4,2,90,Peak,1
3,8.7266898576e-07,2.77893080908e-07,7.52347527091e-07,3.04450094913e-07,5.48950807064e-07,7.5273950102e-07,5.94852835069e-07,6.30653547732e-07,2.68255465855e-07,1.3277395076e-06,1.01603872051e-06,3.08359764129e-07,8.69760721929e-07,8.04813583532e-07,pol2,4,2,95,Peak,1
4,1.03829265508e-06,3.90882028436e-07,8.26141330981e-07,5.10504753886e-07,8.16574279281e-07,8.85496377415e-07,8.46752535752e-07,8.01766917613e-07,4.40040952681e-07,1.45704281593e-06,1.12092368333e-06,5.10409889229e-07,1.02833392153e-06,9.00451051376e-07,pol2,4,2,99,Peak,1
0,-5.28532643122e-05,-1.47149407897e-06,-2.00851723884e-06,-2.4778417604e-06,-1.62277999611e-06,-2.52041692006e-06,-2.612840448e-06,-3.54838472028e-06,-4.13098521304e-06,-2.5536339629e-06,-2.5974556537e-06,-1.77351355684e-06,-2.59181034129e-06,-1.44410330733e-06,pol2,4,2,1,Continuum,1
1,-8.91767879269e-06,-6.73846772071e-07,-1.23337717419e-06,-1.40499232897e-06,-6.6848905524e-07,-9.86107877777e-07,-1.19159240915e-06,-1.6028126335e-06,-2.13986155537e-06,-1.33797731864e-06,-1.06561404971e-06,-7.16475491347e-07,-1.27975122409e-06,-6.09318462644e-07,pol2,4,2,5,Continuum,1
2,3.16959625887e-07,1.66957327662e-07,1.88217592816e-07,2.54541813275e-07,2.50985808092e-07,3.12140584001e-07,2.61722242313e-07,2.72720767231e-07,2.70780816207e-07,3.04824577675e-07,2.7548565348e-07,2.74464875933e-07,3.70832063694e-07,3.17248372899e-07,pol2,4,2,90,Continuum,1
3,4.14516565702e-07,2.22706002691e-07,2.52961024227e-07,3.61847963167e-07,3.49804727655e-07,4.23222931827e-07,3.58386813656e-07,3.83446322029e-07,3.85277620436e-07,4.06949791199e-07,3.71204039031e-07,3.75547751048e-07,4.84344078353e-07,4.04413930064e-07,pol2,4,2,95,Continuum,1
4,5.39705239916e-07,3.52660684346e-07,4.25372693019e-07,6.17601355992e-07,5.80178246018e-07,6.04377820959e-07,5.505076492e-07,6.16709748355e-07,7.94043327597e-07,5.74539885187e-07,5.42837006227e-07,5.37739818847e-07,7.48958373719e-07,5.9235137527e-07,pol2,4,2,99,Continuum,1
