,584,592,598,608,610,614,624,626,628,632,640,648,658,660,662,672,678,680,688,690,694,Cut,DS,Module,Percentage,Range,SubDS
0,-8.51000843588e-07,-1.12885335132e-06,-5.38284563692e-07,-4.08618348287e-07,-1.80769693843e-07,-4.29636869553e-07,-9.25280555319e-07,-6.16178801538e-07,-1.2500202462e-06,-2.24278765871e-07,-9.47241077526e-07,-2.72756233836e-07,-9.0190262248e-07,-8.85664786382e-07,-6.89169576899e-08,0,-4.1766970807e-07,-8.25276518436e-07,-1.83401234542e-07,-1.06288531793e-06,-3.03034792337e-07,pol2,5,1,1,Peak,11
1,2.09580210477e-07,3.50865490176e-07,2.02138523139e-07,9.84344163417e-08,3.26170851819e-07,-7.78460326327e-08,2.28087706947e-07,1.52271374669e-07,-3.63989097853e-07,1.39414938189e-07,-1.61112132677e-07,6.06607528957e-08,2.16962610003e-07,-6.32711773385e-07,3.73668345317e-07,0,2.41374089082e-07,2.90725207558e-07,1.43060838913e-07,2.65003564989e-07,1.87727683155e-07,pol2,5,1,5,Peak,11
2,1.1388860707e-06,1.108725829e-06,1.06266630971e-06,9.75120288371e-07,1.05052313778e-06,1.054244357e-06,1.16947429675e-06,1.00419793858e-06,6.51429852182e-07,9.96933256364e-07,6.96029951976e-07,9.98461737227e-07,1.06328477207e-06,1.91376945901e-07,1.26058179435e-06,0,1.01541571769e-06,1.17447385588e-06,1.00296755787e-06,9.9752406951e-07,1.14476112051e-06,pol2,5,1,90,Peak,11
3,1.23510917131e-06,1.19547724141e-06,1.15135055171e-06,1.05981481609e-06,1.12973769681e-06,1.17186814714e-06,1.26206399277e-06,1.09052260198e-06,7.68498283388e-07,1.08096718838e-06,7.76601425213e-07,1.07506984454e-06,1.13225974854e-06,2.89305022723e-07,1.34859536697e-06,0,1.10401177125e-06,1.25198012703e-06,1.08456507149e-06,1.06991415165e-06,1.2604390309e-06,pol2,5,1,95,Peak,11
4,1.37625340111e-06,1.31050961427e-06,1.28308082081e-06,1.1665884271e-06,1.25765574889e-06,1.32453209524e-06,1.39729368037e-06,1.21708828867e-06,9.46268864108e-07,1.24015923676e-06,8.84851017351e-07,1.16352312124e-06,1.23192579218e-06,5.00479845949e-07,1.50128778063e-06,0,1.23240292444e-06,1.40442389007e-06,1.23126775043e-06,1.1883013039e-06,1.41213387309e-06,pol2,5,1,99,Peak,11
0,-1.84497231264e-06,-2.44453445503e-06,-1.30410044392e-06,-1.39391791067e-06,-1.96146414554e-06,-2.5060300244e-06,-3.60385688239e-06,-2.59781418135e-06,-8.21167429576e-06,-1.02336202577e-06,-2.71501092821e-06,-1.22640809014e-06,-2.45079551828e-06,-1.16952808551e-06,-1.83943769058e-06,0,-1.88310950802e-06,-2.27449508942e-06,-2.90797709043e-06,-2.874475436e-06,-2.93473029894e-06,pol2,5,1,1,Continuum,11
1,-8.42589198767e-07,-1.25438295459e-06,-5.4496523362e-07,-6.21031959733e-07,-9.80890295954e-07,-1.29697612786e-06,-1.94506365964e-06,-1.40473064254e-06,-2.93958014838e-06,-5.20238994623e-07,-1.36556375254e-06,-4.64842643161e-07,-1.39886749872e-06,-5.5880208325e-07,-8.31677408878e-07,0,-9.02714950476e-07,-1.1806258581e-06,-1.26130851592e-06,-1.39533271292e-06,-1.1764054299e-06,pol2,5,1,5,Continuum,11
2,3.93669830021e-07,3.24758107853e-07,3.40575361228e-07,3.4541207381e-07,3.18658410015e-07,4.64163962867e-07,4.23347907959e-07,3.46235094175e-07,3.8531226235e-07,3.56564209181e-07,2.98708419265e-07,3.50818105984e-07,2.29449496772e-07,2.90275294638e-07,3.59824141733e-07,0,3.39942682944e-07,3.92589567893e-07,3.90964209004e-07,3.26294213582e-07,4.29161591133e-07,pol2,5,1,90,Continuum,11
3,5.06887769466e-07,4.17288648658e-07,4.30898393194e-07,4.45428837265e-07,4.02800060475e-07,6.10677825461e-07,5.65150893535e-07,4.58079692635e-07,5.55545385071e-07,4.52449969555e-07,4.04676495535e-07,4.2558745432e-07,3.30092132203e-07,3.82296313651e-07,4.54279964139e-07,0,4.21681870137e-07,5.10249111242e-07,5.00615227547e-07,4.26956273715e-07,5.52323255123e-07,pol2,5,1,95,Continuum,11
4,7.14642688349e-07,6.18507449433e-07,5.88641535272e-07,6.23663838807e-07,5.74817458308e-07,8.6882129765e-07,9.74720155065e-07,6.63668165327e-07,1.55684121494e-06,6.30448490029e-07,5.99623778132e-07,5.77857695952e-07,5.2350012161e-07,5.55724884454e-07,6.28992367674e-07,0,6.1512863711e-07,7.10432344632e-07,7.51110177332e-07,6.47604889255e-07,8.31877386203e-07,pol2,5,1,99,Continuum,11
0,-2.88168309241e-11,-2.67965774331e-11,-2.59099620404e-11,-2.49312526927e-11,-2.54270758861e-11,-2.96722148728e-11,-2.95288909696e-11,-2.55997748594e-11,-1.97061943489e-11,-2.57508995625e-11,-1.96621491167e-11,-2.51930802131e-11,-2.62177951012e-11,-9.81326198996e-12,-3.03607079543e-11,0,-2.56159278183e-11,-2.9153112902e-11,-2.56615235882e-11,-2.49170824183e-11,-2.95637422274e-11,pol3,5,1,1,Peak,11
