,1106,1110,1120,1124,1128,1170,1172,1174,1176,1204,1208,1298,1302,1330,1332,Cut,DS,Module,Percentage,Range,SubDS
0,406.709799715,0,378.601587174,373.878977588,389.083184784,404.556755981,368.690774017,443.21538185,382.459314112,322.162894676,382.905944204,501.120772203,445.867445413,459.30975522,0,bcMax,5,2,1,Peak,11
1,439.372046968,0,416.932296164,398.99132549,429.262465914,446.018341165,395.529325969,478.897956014,411.087197776,350.774279518,409.315167831,532.894542284,470.081458483,499.967229725,0,bcMax,5,2,5,Peak,11
2,573.882582454,0,597.124472556,524.845636047,600.897873348,629.03506136,555.440242726,700.129915834,603.859249648,483.403164534,583.733894255,774.944724738,701.390819806,713.418970877,0,bcMax,5,2,90,Peak,11
3,601.074305537,0,623.182867101,546.544655108,623.662493228,660.045111221,585.130709117,742.821567067,640.000581706,496.372490588,619.946135982,897.09388802,837.430802069,781.292879796,0,bcMax,5,2,95,Peak,11
4,706.837772833,0,671.136800633,613.543424075,667.281033476,732.976154411,645.377401641,918.175931532,743.762949314,524.239015487,726.547261776,1135.92173058,1009.55035366,922.657848717,0,bcMax,5,2,99,Peak,11
5,499.0,0,477.0,476.0,508.0,504.0,458.0,563.0,460.0,384.0,475.0,598.0,546.0,592.0,0,bcMax,5,2,Mode,Peak,11
6,504.862979095,0,510.959997929,463.172029605,515.54487893,533.700516761,474.642359546,580.533551279,501.333756206,415.205590607,491.673035339,630.28927413,550.435290566,597.16221142,0,bcMax,5,2,Median,Peak,11
0,292.260743552,0,274.754010155,290.846216067,283.352066522,285.280322697,279.606847725,351.024483553,293.802693671,249.473044628,292.977734287,397.053994602,394.75743303,323.773547468,0,bcMax,5,2,1,Continuum,11
1,307.342565242,0,291.186480295,301.207147444,292.639740096,297.706346303,290.781447053,378.173321742,308.601155119,254.625217885,313.644482089,416.005904053,418.606588971,343.30762337,0,bcMax,5,2,5,Continuum,11
2,425.661633565,0,396.413239759,373.449805949,367.292934502,412.414076715,385.024184423,582.588103405,434.428510385,301.544728279,450.1866848,620.420312014,626.069272721,539.216834334,0,bcMax,5,2,90,Continuum,11
3,454.835656098,0,420.030310073,390.445991324,391.215730071,448.721364439,408.892260657,635.129090254,468.109161714,312.630584221,485.353489527,779.641705129,761.485029884,632.494630639,0,bcMax,5,2,95,Continuum,11
4,583.644705386,0,466.453880425,435.296050435,437.161569795,564.361046621,493.406948774,869.407593924,617.953692117,331.820982365,623.729032769,992.676379596,937.731540936,752.903087918,0,bcMax,5,2,99,Continuum,11
5,343.0,0,317.0,330.0,317.0,328.0,311.0,439.0,336.0,268.0,366.0,446.0,473.0,387.0,0,bcMax,5,2,Mode,Continuum,11
