TritiumSpect	TritiumEnergy	TritiumSpectConv
8.259381360969692e-05	0.001	4.197950472756555e-05
8.258569000643392e-05	0.002	4.231205122402339e-05
8.257730290366606e-05	0.003	4.264455802216693e-05
8.256883136271141e-05	0.004	4.297699261634164e-05
8.256032046811326e-05	0.005	4.330932253551392e-05
8.255178786304016e-05	0.006	4.364151535303724e-05
8.254324262788461e-05	0.007	4.397353869640424e-05
8.253469091941246e-05	0.008	4.430536025696176e-05
8.252613822951978e-05	0.008999999999999999	4.463694779960248e-05
8.251759044914134e-05	0.01	4.496826917240909e-05
8.250905437235573e-05	0.011	4.529929231626732e-05
8.250053789647126e-05	0.012	4.562998527442069e-05
8.249205004298363e-05	0.013	4.596031620198387e-05
8.248360086418468e-05	0.014	4.629025337538915e-05
8.247520129037152e-05	0.015	4.661976520178284e-05
8.246686294433077e-05	0.016	4.694882022834436e-05
8.245859795177894e-05	0.017	4.727738715154685e-05
8.245041875210626e-05	0.018	4.760543482632914e-05
8.244233792518913e-05	0.019	4.793293227520396e-05
8.243436803793343e-05	0.02	4.825984869726752e-05
8.242652150901745e-05	0.021	4.858615347713302e-05
8.24188104953714e-05	0.022	4.891181619376065e-05
8.241124679916877e-05	0.023	4.923680662920264e-05
8.240384179142939e-05	0.024	4.956109477723495e-05
8.239660635443386e-05	0.025	4.988465085189662e-05
8.238955083756606e-05	0.026	5.020744529590666e-05
8.238268502626333e-05	0.027	5.052944878898232e-05
8.237601812071706e-05	0.028	5.085063225602629e-05
8.236955872671535e-05	0.029	5.117096687520636e-05
8.236331485115955e-05	0.03	5.149042408589785e-05
8.235729390483558e-05	0.031	5.180897559651146e-05
8.235150271182427e-05	0.032	5.212659339217579e-05
8.23459475211668e-05	0.033	5.244324974229868e-05
8.234063402199743e-05	0.034	5.275891720797535e-05
8.233556736279993e-05	0.035	5.307356864927091e-05
8.233075217027744e-05	0.036	5.338717723234263e-05
8.232619257127454e-05	0.037	5.369971643642797e-05
8.232189221449491e-05	0.038	5.401116006066856e-05
8.231785429306717e-05	0.039	5.432148223079445e-05
8.231408156749848e-05	0.04	5.463065740563726e-05
8.231057638845432e-05	0.041	5.493866038349881e-05
8.230734071896057e-05	0.042	5.524546630834284e-05
8.230437615657318e-05	0.043	5.555105067583838e-05
8.230168395448639e-05	0.044	5.58553893392209e-05
8.229926504319279e-05	0.045	5.615845851499971e-05
8.229712004973961e-05	0.046	5.646023478847924e-05
8.229524931773685e-05	0.047	5.676069511912338e-05
8.229365292581654e-05	0.048	5.705981684572868e-05
8.229233070512365e-05	0.049	5.735757769143775e-05
8.229128225683976e-05	0.05	5.765395576855574e-05
8.22905069676741e-05	0.051	5.794892958320707e-05
8.229000402605872e-05	0.052	5.824247803979283e-05
8.228977243610496e-05	0.053	5.853458044527962e-05
8.228981103175988e-05	0.054	5.882521651329242e-05
8.229011848939984e-05	0.055	5.911436636803524e-05
8.229069334090598e-05	0.056	5.940201054801247e-05
8.229153398482943e-05	0.057	5.968813000957743e-05
8.229263869737266e-05	0.058	5.997270613027842e-05
8.22940056427281e-05	0.059	6.025572071203274e-05
8.229563288309045e-05	0.06	6.053715598409622e-05
8.229751838748608e-05	0.061	6.081699460585875e-05
8.229966004025946e-05	0.062	6.109521966943547e-05
8.230205564951508e-05	0.063	6.137181470208427e-05
8.230470295438545e-05	0.064	6.164676366841778e-05
8.230759963188663e-05	0.065	6.192005097244208e-05
8.231074330427915e-05	0.066	6.219166145938889e-05
8.231413154427235e-05	0.067	6.246158041737726e-05
8.231776188154986e-05	0.068	6.272979357886883e-05
8.232163180768566e-05	0.06900000000000001	6.299628712195127e-05
8.232573878168929e-05	0.07000000000000001	6.326104767141863e-05
8.23300802342089e-05	0.07099999999999999	6.352406229968113e-05
8.233465357227424e-05	0.07199999999999999	6.378531852747274e-05
8.233945618305913e-05	0.073	6.404480432439041e-05
8.234448543803489e-05	0.074	6.430250810923184e-05
8.234973869623142e-05	0.075	6.455841875016941e-05
8.235521330762049e-05	0.076	6.481252556472359e-05
8.236090661621338e-05	0.077	6.506481831957489e-05
8.236681596286694e-05	0.078	6.531528723017817e-05
8.237293868773842e-05	0.079	6.556392296021975e-05
8.237927213299147e-05	0.08	6.581071662087865e-05
8.238581364492313e-05	0.081	6.605565976993495e-05
8.239256057584347e-05	0.082	6.629874441068397e-05
8.239951028641673e-05	0.083	6.653996299070379e-05
8.240666014705755e-05	0.08400000000000001	6.677930840043294e-05
8.241400753971339e-05	0.08500000000000001	6.701677397160124e-05
8.242154985929131e-05	0.08599999999999999	6.72523534754788e-05
8.242928451509114e-05	0.08699999999999999	6.748604112098225e-05
8.243720893207564e-05	0.08799999999999999	6.771783155260268e-05
8.244532055197517e-05	0.089	6.794771984819606e-05
8.245361683419534e-05	0.09	6.817570151659901e-05
8.246209525714928e-05	0.091	6.840177249511445e-05
8.247075331861449e-05	0.092	6.862592914682666e-05
8.247958853695365e-05	0.093	6.884816825779008e-05
8.248859845161289e-05	0.094	6.90684870340544e-05
8.249778062380626e-05	0.095	6.928688309856956e-05
8.250713263689782e-05	0.096	6.950335448793104e-05
8.251665209726057e-05	0.097	6.971789964901244e-05
8.252633663436287e-05	0.098	6.993051743544194e-05
8.253618390145987e-05	0.099	7.014120710397455e-05
8.254619157558404e-05	0.1	7.034996831071442e-05
8.255635735820204e-05	0.101	7.055680110723621e-05
8.25666789752167e-05	0.102	7.076170593656471e-05
8.257715417722132e-05	0.103	7.096468362906093e-05
8.258778073978301e-05	0.104	7.11657353981711e-05
8.259855646331179e-05	0.105	7.136486283608951e-05
8.260947917345228e-05	0.106	7.156206790928967e-05
8.262054672100474e-05	0.107	7.175735295397804e-05
8.263175698189634e-05	0.108	7.195072067142161e-05
8.264310785734555e-05	0.109	7.214217412320421e-05
8.265459727377797e-05	0.11	7.233171672636375e-05
8.266622318279936e-05	0.111	7.251935224846635e-05
8.267798356103316e-05	0.112	7.270508480256676e-05
8.268987641026215e-05	0.113	7.288891884211367e-05
8.270189975718561e-05	0.114	7.307085915574583e-05
8.271405165333243e-05	0.115	7.325091086204266e-05
8.272633017485774e-05	0.116	7.342907940417531e-05
8.273873342265852e-05	0.117	7.360537054451034e-05
8.275125952192087e-05	0.118	7.377979035912857e-05
8.276390662217219e-05	0.119	7.395234523230147e-05
8.27766728970467e-05	0.12	7.412304185088895e-05
8.278955654395935e-05	0.121	7.429188719870252e-05
8.280255578422581e-05	0.122	7.445888855079521e-05
8.281566886247142e-05	0.123	7.4624053467726e-05
8.282889404681686e-05	0.124	7.478738978975719e-05
8.284222962840088e-05	0.125	7.49489056310321e-05
8.285567392128222e-05	0.126	7.510860937369311e-05
8.286922526212705e-05	0.127	7.526650966198782e-05
8.288288201004419e-05	0.128	7.542261539632145e-05
8.289664254640511e-05	0.129	7.557693572730435e-05
8.291050527450337e-05	0.13	7.57294800497512e-05
8.292446861938107e-05	0.131	7.588025799668394e-05
8.293853102751069e-05	0.132	7.602927943329321e-05
8.295269096667964e-05	0.133	7.617655445090715e-05
8.296694692569467e-05	0.134	7.632209336092695e-05
8.298129741400754e-05	0.135	7.646590668877723e-05
8.299574096170477e-05	0.136	7.660800516782793e-05
8.301027611907412e-05	0.137	7.674839973333766e-05
8.302490145647819e-05	0.138	7.688710151637397e-05
8.30396155640027e-05	0.139	7.702412183776304e-05
8.305441705123513e-05	0.14	7.715947220202113e-05
8.306930454708738e-05	0.141	7.729316429132082e-05
8.308427669954149e-05	0.142	7.742520995944508e-05
8.309933217524159e-05	0.143	7.755562122578303e-05
8.311446965948191e-05	0.144	7.768441026931777e-05
8.312968785579935e-05	0.145	7.781158942266259e-05
8.31449854858544e-05	0.146	7.793717116609231e-05
8.316036128900545e-05	0.147	7.806116812163094e-05
