ALP mass	90% CL limit on gAe
1.0	7.86163e-14
1.5	1.01891e-13
2.0	1.34923e-13
2.5	1.80761e-13
3.0	2.27173e-13
3.5	2.13935e-13
4.0	2.35091e-13
4.5	3.01049e-13
5.0	2.29973e-13
5.5	1.91142e-13
6.0	2.00515e-13
6.5	2.03832e-13
7.0	2.11441e-13
7.5	2.09204e-13
8.0	1.94275e-13
8.5	1.67925e-13
9.0	1.60627e-13
9.5	1.91066e-13
10.0	2.30121e-13
10.5	2.69899e-13
11.0	3.22808e-13
11.5	3.64894e-13
12.0	3.97169e-13
12.5	4.17662e-13
13.0	4.20078e-13
13.5	4.05871e-13
14.0	3.85021e-13
14.5	3.41146e-13
15.0	2.8835e-13
15.5	2.58294e-13
16.0	2.46682e-13
